url,naziv,cijena,lokacija,lat,lng,Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija
https://www.olx.ba/artikal/31083807/moderno-namjesten-trosoban-stan-stup-ilidza/,"[IZDAVANJE] Moderno namješten trosoban stan, Stup, Ilidža",550 KM,Ilidža,,,65,Trosoban (3),Stupska 19c,Novogradnja,Jugozapad
https://www.olx.ba/artikal/31427145/trosoban-stan-na-vracama/,[IZDAVANJE] Trosoban stan na Vracama,PO DOGOVORU,Novo Sarajevo,43.847302,18.3979,65,Trosoban (3),Avde Smajlovića,,Sjeverozapad
https://www.olx.ba/artikal/31426223/stan-pofalici-doncafe-zgrada/,"[IZDAVANJE] Stan - Pofalići, DONCAFE zgrada",550 KM,Novo Sarajevo,43.854849,18.393447,60,Dvosoban (2),Hamdije Ćemerlića,1980-1989,Jugozapad
https://www.olx.ba/artikal/28106268/stan-na-dan-sarajevo-apartman-062-798-865/,[IZDAVANJE] Stan na dan SARAJEVO apartman 062/798-865,40 KM,Novo Sarajevo,43.854969,18.390459,55,Trosoban (3),KOLODVORSKA 8,Novogradnja,
https://www.olx.ba/artikal/31418589/stan-sarajevo-stari-grad/,[IZDAVANJE] Stan Sarajevo Stari Grad,250 KM,Stari Grad,,,60,Četverosoban (4),Bentbaša 13,,
https://www.olx.ba/artikal/28944584/grbavica-novogradnja-dvoiposoban-namjesten-stan/,"[IZDAVANJE] Grbavica , novogradnja, dvoiposoban namjesten stan!",PO DOGOVORU,Novo Sarajevo,43.848938,18.398876,59,Trosoban (3),Radnicka,,
https://www.olx.ba/artikal/30958556/kovacici-trosoban-adaptiran-stan-od-80-m2/,"[IZDAVANJE] Kovacici , trosoban adaptiran stan od 80 m2!",1.000 KM,Sarajevo - Centar,43.852719,18.404322,80,Trosoban (3),Zagrebacka,,
https://www.olx.ba/artikal/30981832/skenderija-namjesten-salonski-stan-od-107-m2/,"[IZDAVANJE] Skenderija , namjesten salonski stan od 107 m2!",1.500 KM,Sarajevo - Centar,43.856023,18.418135,107,Četverosoban (4),Obala Maka Dizdara,,
https://www.olx.ba/artikal/30327280/centar-adaptiran-cetverosoban-stan/,"[IZDAVANJE] Centar , adaptiran cetverosoban stan!",PO DOGOVORU,Sarajevo - Centar,43.857357,18.415565,80,Četverosoban (4),Miss Irbina,,
https://www.olx.ba/artikal/30852416/namjesten-trosoban-stan-67m2-1-sprat-hrasno/,"[IZDAVANJE] Namješten trosoban stan 67m2, 1. sprat, Hrasno",420 KM,Novo Sarajevo,43.84787,18.377332,67,Trosoban (3),Milana Preloga,,Zapad
